subset,dataset,datatype,num_samples,resolution,method,psnr,ssim,mse,hf_ratio
StdContact-Target,StdContact,Target,100,1024,Fourier,23.179269,0.43214,0.004813,0.524436
StdMetal-Litho,StdMetal,Litho,100,128,PointWise,35.456986,0.99231,5.4e-05,9.439197
StdMetal-Litho,StdMetal,Litho,100,128,Average,40.9227,0.997812,1.5e-05,9.169667
StdMetal-Litho,StdMetal,Litho,100,128,Fourier,35.397808,0.99134,5.4e-05,9.39325
StdMetal-Litho,StdMetal,Litho,100,256,PointWise,41.656081,0.998154,1.3e-05,5.058726
StdMetal-Litho,StdMetal,Litho,100,256,Average,46.644978,0.999414,4e-06,4.876911
StdMetal-Litho,StdMetal,Litho,100,256,Fourier,41.547081,0.997469,1.3e-05,4.898264
StdMetal-Litho,StdMetal,Litho,100,512,PointWise,47.814404,0.999552,3e-06,3.037886
StdMetal-Litho,StdMetal,Litho,100,512,Average,51.918814,0.999826,1e-06,2.787712
StdMetal-Litho,StdMetal,Litho,100,512,Fourier,47.523383,0.999069,3e-06,2.791897
StdMetal-Litho,StdMetal,Litho,100,1024,PointWise,53.833005,0.999887,1e-06,1.525377
StdMetal-Litho,StdMetal,Litho,100,1024,Average,56.81958,0.999943,0.0,1.161664
StdMetal-Litho,StdMetal,Litho,100,1024,Fourier,52.403168,0.999412,1e-06,1.188518
StdMetal-PixelILT,StdMetal,PixelILT,100,128,PointWise,17.204929,0.852384,0.0204,1.02483
StdMetal-PixelILT,StdMetal,PixelILT,100,128,Average,21.415633,0.940727,0.007687,0.594195
StdMetal-PixelILT,StdMetal,PixelILT,100,128,Fourier,15.482865,0.565853,0.02904,0.359279
StdMetal-PixelILT,StdMetal,PixelILT,100,256,PointWise,20.558862,0.931918,0.009407,1.030522
StdMetal-PixelILT,StdMetal,PixelILT,100,256,Average,24.282461,0.970235,0.003974,0.602504
StdMetal-PixelILT,StdMetal,PixelILT,100,256,Fourier,17.285382,0.649923,0.019228,0.399816
StdMetal-PixelILT,StdMetal,PixelILT,100,512,PointWise,24.982637,0.975406,0.003386,1.02447
StdMetal-PixelILT,StdMetal,PixelILT,100,512,Average,27.933538,0.987369,0.001712,0.672183
StdMetal-PixelILT,StdMetal,PixelILT,100,512,Fourier,17.622404,0.64569,0.017557,0.404917
StdMetal-PixelILT,StdMetal,PixelILT,100,1024,PointWise,inf,1.0,0.0,1.0
StdMetal-PixelILT,StdMetal,PixelILT,100,1024,Average,inf,1.0,0.0,1.0
StdMetal-PixelILT,StdMetal,PixelILT,100,1024,Fourier,17.19235,0.618848,0.019306,0.373896
StdMetal-Printed,StdMetal,Printed,100,128,PointWise,22.808552,0.901562,0.00631,1.10408
StdMetal-Printed,StdMetal,Printed,100,128,Average,27.283936,0.963748,0.002269,0.673545
StdMetal-Printed,StdMetal,Printed,100,128,Fourier,18.568395,0.402062,0.014751,0.479479
StdMetal-Printed,StdMetal,Printed,100,256,PointWise,26.012443,0.953072,0.003043,1.101959
StdMetal-Printed,StdMetal,Printed,100,256,Average,30.267168,0.982073,0.001136,0.678225
StdMetal-Printed,StdMetal,Printed,100,256,Fourier,19.987441,0.454368,0.010304,0.51386
StdMetal-Printed,StdMetal,Printed,100,512,PointWise,29.632778,0.979709,0.001314,1.095298
StdMetal-Printed,StdMetal,Printed,100,512,Average,33.434209,0.991473,0.000546,0.705653
StdMetal-Printed,StdMetal,Printed,100,512,Fourier,20.386213,0.461618,0.009339,0.528533
StdMetal-Printed,StdMetal,Printed,100,1024,PointWise,34.264102,0.993009,0.000452,1.075629
StdMetal-Printed,StdMetal,Printed,100,1024,Average,37.255926,0.996477,0.000227,0.704134
StdMetal-Printed,StdMetal,Printed,100,1024,Fourier,19.403927,0.426537,0.011557,0.485543
StdMetal-Resist,StdMetal,Resist,100,128,PointWise,28.71926,0.969175,0.001593,739.891854
StdMetal-Resist,StdMetal,Resist,100,128,Average,34.176092,0.99115,0.000453,674.067822
